Property_ID,Project_Name,Developer_Name,Location,Property_Type,Bedrooms,Property_Price_AED,Payment_Plan
PROP-00230,Danube Oceanz,Danube Properties,Al Furjan,Apartment,3,1826000,Post Handover 60/40
PROP-00439,The Sanctuary,Ellington Properties,Business Bay,Villa,4,5486000,80/20
PROP-00129,Sobha Creek Vistas,Sobha Realty,Damac Hills 2,Villa,4,5187000,70/30
PROP-00009,Hayat Townhouses,Nshama,Downtown Dubai,Studio,0,515000,70/30
PROP-00476,Danube Elitz,Danube Properties,Jumeirah Lake Towers (JLT),Apartment,3,2164000,70/30
PROP-00241,Azizi Riviera,Azizi Developments,Al Furjan,Apartment,1,1553000,Post Handover 60/40
PROP-00098,Azizi Venice,Azizi Developments,Business Bay,Townhouse,3,3206000,50/50
PROP-00104,Azizi Riviera,Azizi Developments,Business Bay,Studio,0,807000,1% Monthly
PROP-00291,Serena,Dubai Properties,Dubai Silicon Oasis,Apartment,1,1874000,70/30
PROP-00065,Serena,Dubai Properties,Damac Hills 2,Studio,0,464000,80/20
PROP-00455,Azizi Aliyah,Azizi Developments,Arabian Ranches,Townhouse,2,2473000,1% Monthly
PROP-00504,DAMAC Hills 2,DAMAC Properties,Dubai Marina,Apartment,3,2267000,50/50
PROP-00060,Sobha Creek Vistas,Sobha Realty,Palm Jumeirah,Villa,5,5562000,1% Monthly
PROP-00545,1/JVC,Dubai Properties,Dubai South,Townhouse,3,2710000,80/20
PROP-00399,Azizi Venice,Azizi Developments,Al Furjan,Apartment,2,1862000,Post Handover 60/40
PROP-00077,Binghatti Canal,Binghatti Developers,Dubai Hills Estate,Studio,0,475000,Post Handover 60/40
PROP-00082,Address Residences,Emaar Properties,Downtown Dubai,Apartment,1,1609000,50/50
PROP-00193,Villanova,Dubai Properties,Jumeirah Lake Towers (JLT),Villa,5,5135000,50/50
PROP-00443,DAMAC Hills 2,DAMAC Properties,Dubai South,Apartment,3,2290000,1% Monthly
PROP-00587,Azizi Venice,Azizi Developments,Business Bay,Townhouse,4,2683000,Post Handover 60/40
PROP-00575,Sobha Hartland,Sobha Realty,Jumeirah Lake Towers (JLT),Apartment,3,2111000,60/40
PROP-00309,Address Residences,Emaar Properties,Dubai Silicon Oasis,Villa,4,5265000,70/30
PROP-00257,Danube Diamondz,Danube Properties,Palm Jumeirah,Studio,0,506000,70/30
PROP-00542,The Sanctuary,Ellington Properties,Downtown Dubai,Townhouse,3,2832000,50/50
PROP-00518,Safa Two,DAMAC Properties,Arabian Ranches,Apartment,2,1871000,Post Handover 60/40
PROP-00440,Azizi Aliyah,Azizi Developments,Jumeirah Lake Towers (JLT),Penthouse,3,9773000,80/20
PROP-00190,Emaar Beachfront,Emaar Properties,Dubai Hills Estate,Villa,4,5567000,60/40
PROP-00209,Palm Jebel Ali,Nakheel,Palm Jumeirah,Villa,3,4276000,1% Monthly
PROP-00068,Binghatti Jacob & Co,Binghatti Developers,Dubai Marina,Villa,4,5852000,60/40
PROP-00158,Wilton Terraces,Ellington Properties,Dubai Marina,Townhouse,3,2817000,DLD Waiver Offer
PROP-00196,Binghatti Canal,Binghatti Developers,Downtown Dubai,Apartment,2,1653000,60/40
PROP-00067,Wilton Terraces,Ellington Properties,Arabian Ranches,Apartment,1,1545000,Post Handover 60/40
PROP-00563,Belgravia,Ellington Properties,Dubai Hills Estate,Penthouse,4,9138000,70/30
PROP-00139,Danube Elitz,Danube Properties,Dubai South,Apartment,1,1882000,80/20
PROP-00199,Bluewaters Residences,Meraas,Jumeirah Village Circle (JVC),Townhouse,2,2659000,60/40
PROP-00463,Haven,Aldar Properties,Dubai Marina,Apartment,1,1612000,Post Handover 60/40
PROP-00075,La Mer Residences,Meraas,Dubai South,Villa,4,4602000,Post Handover 60/40
PROP-00369,Palm Jebel Ali,Nakheel,Dubai Hills Estate,Apartment,4,2697000,70/30
PROP-00287,Jumeirah Islands,Nakheel,Business Bay,Studio,0,470000,DLD Waiver Offer
PROP-00112,Town Square,Nshama,Arabian Ranches,Apartment,2,1892000,1% Monthly
PROP-00277,Binghatti Aquarise,Binghatti Developers,Dubai Marina,Villa,5,6126000,70/30
PROP-00148,Serena,Dubai Properties,Business Bay,Villa,4,4760000,1% Monthly
PROP-00022,Danube Oceanz,Danube Properties,Business Bay,Studio,0,482000,Post Handover 60/40
PROP-00392,1/JVC,Dubai Properties,Business Bay,Studio,0,631000,80/20
PROP-00352,Haven,Aldar Properties,Jumeirah Village Circle (JVC),Apartment,1,1772000,80/20
PROP-00416,Dubai Hills Views,Emaar Properties,Dubai South,Studio,0,681000,70/30
PROP-00526,Yas Acres,Aldar Properties,Dubai Hills Estate,Studio,0,825000,80/20
PROP-00097,Serena,Dubai Properties,Jumeirah Village Circle (JVC),Apartment,2,2257000,Post Handover 60/40
PROP-00145,Aykon City,DAMAC Properties,Arabian Ranches,Studio,0,818000,60/40
PROP-00159,Nad Al Sheba Gardens,Nakheel,Jumeirah Lake Towers (JLT),Studio,0,665000,DLD Waiver Offer
PROP-00495,Serena,Dubai Properties,Jumeirah Village Circle (JVC),Townhouse,2,2876000,DLD Waiver Offer
PROP-00281,Villanova,Dubai Properties,Dubai Creek Harbour,Villa,3,5591000,60/40
PROP-00427,City Walk,Meraas,Dubai Hills Estate,Villa,5,5349000,70/30
PROP-00487,Jumeirah Islands,Nakheel,Dubai South,Townhouse,4,3112000,50/50
PROP-00590,Port De La Mer,Meraas,Jumeirah Village Circle (JVC),Studio,0,754000,Post Handover 60/40
PROP-00171,Belgravia,Ellington Properties,Dubai Hills Estate,Townhouse,3,2894000,50/50
PROP-00174,Villanova,Dubai Properties,Dubai Silicon Oasis,Apartment,4,2459000,80/20
PROP-00472,Sobha Creek Vistas,Sobha Realty,Arabian Ranches,Apartment,1,754000,50/50
PROP-00598,Binghatti Jacob & Co,Binghatti Developers,Downtown Dubai,Apartment,3,2310000,DLD Waiver Offer
PROP-00569,Emaar Beachfront,Emaar Properties,Business Bay,Penthouse,3,7878000,70/30
PROP-00187,DAMAC Lagoons,DAMAC Properties,Jumeirah Lake Towers (JLT),Apartment,1,1823000,Post Handover 60/40
PROP-00417,Azizi Venice,Azizi Developments,Downtown Dubai,Apartment,1,1588000,Post Handover 60/40
PROP-00540,City Walk,Meraas,Jumeirah Village Circle (JVC),Townhouse,2,2899000,70/30
PROP-00124,The Sanctuary,Ellington Properties,Business Bay,Apartment,1,1158000,50/50
PROP-00339,Jumeirah Islands,Nakheel,Jumeirah Village Circle (JVC),Studio,0,859000,Post Handover 60/40
PROP-00362,Town Square,Nshama,Downtown Dubai,Studio,0,781000,Post Handover 60/40
PROP-00377,The Sanctuary,Ellington Properties,Dubai Hills Estate,Villa,3,5302000,50/50
PROP-00447,Town Square,Nshama,Jumeirah Village Circle (JVC),Apartment,3,2209000,50/50
PROP-00070,Haven,Aldar Properties,Jumeirah Village Circle (JVC),Townhouse,2,2649000,80/20
PROP-00140,Azizi Aliyah,Azizi Developments,Mohammed Bin Rashid City (MBR City),Townhouse,4,3408000,50/50
PROP-00535,Yas Acres,Aldar Properties,Dubai Creek Harbour,Apartment,3,2310000,DLD Waiver Offer
PROP-00445,Dubai Hills Views,Emaar Properties,Dubai Hills Estate,Apartment,1,1435000,60/40
PROP-00088,Binghatti Aquarise,Binghatti Developers,Al Furjan,Apartment,3,2138000,50/50
PROP-00028,Dubai Hills Views,Emaar Properties,Dubai Hills Estate,Apartment,2,1395000,60/40
PROP-00330,Azizi Riviera,Azizi Developments,Dubai Silicon Oasis,Apartment,1,1221000,70/30
PROP-00468,Danube Diamondz,Danube Properties,Business Bay,Studio,0,833000,50/50
PROP-00303,Danube Elitz,Danube Properties,Mohammed Bin Rashid City (MBR City),Apartment,3,2099000,80/20
PROP-00358,Danube Oceanz,Danube Properties,Mohammed Bin Rashid City (MBR City),Townhouse,3,2416000,60/40
PROP-00049,City Walk,Meraas,Jumeirah Lake Towers (JLT),Apartment,2,1805000,60/40
PROP-00284,1/JVC,Dubai Properties,Mohammed Bin Rashid City (MBR City),Villa,3,4533000,80/20
PROP-00380,Nad Al Sheba Gardens,Nakheel,Al Furjan,Apartment,2,1933000,60/40
PROP-00537,Sobha Hartland,Sobha Realty,Downtown Dubai,Studio,0,590000,Post Handover 60/40
PROP-00405,Town Square,Nshama,Jumeirah Lake Towers (JLT),Apartment,2,1796000,70/30
PROP-00313,Port De La Mer,Meraas,Palm Jumeirah,Townhouse,3,2901000,70/30
PROP-00184,Binghatti Aquarise,Binghatti Developers,Jumeirah Village Circle (JVC),Studio,0,838000,1% Monthly
PROP-00107,Mudon,Dubai Properties,Damac Hills 2,Townhouse,3,2714000,60/40
PROP-00283,Creek Rise,Emaar Properties,Dubai Hills Estate,Apartment,2,1665000,Post Handover 60/40
PROP-00442,The Valley,Emaar Properties,Dubai Marina,Apartment,3,2445000,1% Monthly
PROP-00517,Mudon,Dubai Properties,Mohammed Bin Rashid City (MBR City),Townhouse,3,2819000,70/30
PROP-00036,Wilton Terraces,Ellington Properties,Mohammed Bin Rashid City (MBR City),Studio,0,651000,50/50
PROP-00579,Safa Two,DAMAC Properties,Mohammed Bin Rashid City (MBR City),Apartment,1,1485000,Post Handover 60/40
PROP-00551,Belgravia,Ellington Properties,Palm Jumeirah,Apartment,2,1790000,Post Handover 60/40
PROP-00212,Deira Islands,Nakheel,Dubai Hills Estate,Apartment,2,1925000,Post Handover 60/40
PROP-00488,Fay Alreeman,Aldar Properties,Dubai Marina,Apartment,3,2472000,50/50
PROP-00471,Binghatti Aquarise,Binghatti Developers,Business Bay,Villa,5,5968000,50/50
PROP-00327,Wilton Terraces,Ellington Properties,Downtown Dubai,Apartment,1,1543000,70/30
PROP-00329,Sobha One,Sobha Realty,Jumeirah Village Circle (JVC),Villa,5,5923000,70/30
PROP-00227,Nad Al Sheba Gardens,Nakheel,Downtown Dubai,Apartment,3,2128000,DLD Waiver Offer
PROP-00550,Belgravia,Ellington Properties,Arabian Ranches,Apartment,1,1413000,DLD Waiver Offer
PROP-00033,Villanova,Dubai Properties,Dubai Creek Harbour,Townhouse,3,2893000,50/50
PROP-00268,Port De La Mer,Meraas,Arabian Ranches,Townhouse,2,2317000,Post Handover 60/40
PROP-00039,Haven,Aldar Properties,Dubai Hills Estate,Villa,5,5861000,50/50
PROP-00276,Jumeirah Islands,Nakheel,Dubai South,Townhouse,3,2635000,60/40
PROP-00166,Fay Alreeman,Aldar Properties,Jumeirah Village Circle (JVC),Studio,0,825000,Post Handover 60/40
PROP-00484,Yas Acres,Aldar Properties,Damac Hills 2,Townhouse,2,2648000,60/40
PROP-00586,Binghatti Aquarise,Binghatti Developers,Dubai South,Villa,4,5616000,70/30
PROP-00114,La Mer Residences,Meraas,Jumeirah Lake Towers (JLT),Apartment,2,1596000,DLD Waiver Offer
PROP-00510,Cavalli Couture,DAMAC Properties,Dubai Marina,Apartment,3,2223000,50/50
PROP-00282,Hayat Townhouses,Nshama,Dubai Hills Estate,Studio,0,828000,Post Handover 60/40
PROP-00573,Binghatti Canal,Binghatti Developers,Jumeirah Village Circle (JVC),Apartment,3,1822000,Post Handover 60/40
PROP-00548,Bluewaters Residences,Meraas,Dubai Hills Estate,Apartment,2,1638000,70/30
PROP-00433,Danube Oceanz,Danube Properties,Damac Hills 2,Villa,4,4680000,DLD Waiver Offer
PROP-00364,Address Residences,Emaar Properties,Dubai Creek Harbour,Studio,0,894000,50/50
PROP-00438,Emaar Beachfront,Emaar Properties,Al Furjan,Apartment,1,1522000,80/20
PROP-00086,Town Square,Nshama,Mohammed Bin Rashid City (MBR City),Apartment,3,1966000,80/20
PROP-00289,Belgravia,Ellington Properties,Dubai Marina,Apartment,1,1198000,60/40
PROP-00242,Deira Islands,Nakheel,Dubai Marina,Apartment,1,1553000,60/40
PROP-00265,Mudon,Dubai Properties,Jumeirah Village Circle (JVC),Townhouse,4,2831000,Post Handover 60/40
PROP-00334,City Walk,Meraas,Jumeirah Village Circle (JVC),Villa,6,5991000,60/40
PROP-00271,Haven,Aldar Properties,Business Bay,Villa,4,4874000,60/40
PROP-00269,Belgravia,Ellington Properties,Palm Jumeirah,Apartment,3,2193000,1% Monthly
PROP-00249,City Walk,Meraas,Business Bay,Apartment,1,1602000,Post Handover 60/40
PROP-00013,Sobha One,Sobha Realty,Dubai Marina,Apartment,3,2174000,50/50
PROP-00245,Villanova,Dubai Properties,Jumeirah Lake Towers (JLT),Villa,4,5768000,60/40
PROP-00010,1/JVC,Dubai Properties,Damac Hills 2,Studio,0,713000,Post Handover 60/40
PROP-00087,Aykon City,DAMAC Properties,Jumeirah Village Circle (JVC),Penthouse,3,8541000,70/30
PROP-00420,DAMAC Lagoons,DAMAC Properties,Jumeirah Lake Towers (JLT),Studio,0,734000,60/40
PROP-00371,Hayat Townhouses,Nshama,Dubai Creek Harbour,Apartment,3,2204000,80/20
PROP-00297,City Walk,Meraas,Jumeirah Village Circle (JVC),Apartment,1,1539000,DLD Waiver Offer
PROP-00406,Deira Islands,Nakheel,Business Bay,Studio,0,574000,Post Handover 60/40
PROP-00236,Azizi Aliyah,Azizi Developments,Jumeirah Lake Towers (JLT),Studio,0,647000,70/30
PROP-00156,Yas Acres,Aldar Properties,Dubai Hills Estate,Apartment,1,1140000,DLD Waiver Offer
PROP-00250,Aykon City,DAMAC Properties,Dubai Marina,Townhouse,3,2607000,80/20
PROP-00168,City Walk,Meraas,Jumeirah Village Circle (JVC),Townhouse,2,2192000,60/40
PROP-00205,1/JVC,Dubai Properties,Jumeirah Village Circle (JVC),Villa,5,6155000,50/50
PROP-00461,DAMAC Lagoons,DAMAC Properties,Dubai Hills Estate,Apartment,1,1495000,70/30
PROP-00315,Danube Diamondz,Danube Properties,Al Furjan,Studio,0,848000,60/40
PROP-00561,Town Square,Nshama,Business Bay,Studio,0,575000,1% Monthly
PROP-00256,City Walk,Meraas,Jumeirah Village Circle (JVC),Penthouse,4,8090000,70/30
PROP-00594,Binghatti Canal,Binghatti Developers,Damac Hills 2,Studio,0,627000,Post Handover 60/40
PROP-00564,Danube Oceanz,Danube Properties,Jumeirah Lake Towers (JLT),Apartment,2,1880000,DLD Waiver Offer
PROP-00492,Serena,Dubai Properties,Dubai Marina,Apartment,2,1850000,60/40
PROP-00552,Aykon City,DAMAC Properties,Jumeirah Village Circle (JVC),Apartment,2,1588000,60/40
PROP-00578,Azizi Riviera,Azizi Developments,Business Bay,Studio,0,637000,1% Monthly
PROP-00525,Serena,Dubai Properties,Damac Hills 2,Penthouse,4,7645000,50/50
PROP-00497,Town Square,Nshama,Dubai Marina,Studio,0,701000,Post Handover 60/40
PROP-00556,Binghatti Aquarise,Binghatti Developers,Palm Jumeirah,Studio,0,555000,1% Monthly
PROP-00322,Creek Rise,Emaar Properties,Jumeirah Lake Towers (JLT),Townhouse,2,2652000,1% Monthly
PROP-00338,DAMAC Lagoons,DAMAC Properties,Downtown Dubai,Penthouse,5,9460000,80/20
PROP-00574,Binghatti Aquarise,Binghatti Developers,Mohammed Bin Rashid City (MBR City),Apartment,1,1549000,1% Monthly
PROP-00030,Hayat Townhouses,Nshama,Dubai Creek Harbour,Apartment,4,2656000,50/50
PROP-00031,Villanova,Dubai Properties,Business Bay,Apartment,1,1230000,DLD Waiver Offer
PROP-00568,Azizi Aliyah,Azizi Developments,Damac Hills 2,Apartment,3,1845000,1% Monthly
PROP-00449,Sobha Creek Vistas,Sobha Realty,Business Bay,Villa,4,5370000,70/30
PROP-00558,Binghatti Aquarise,Binghatti Developers,Dubai Marina,Townhouse,3,2272000,Post Handover 60/40
PROP-00429,Azizi Aliyah,Azizi Developments,Dubai Marina,Apartment,2,1680000,70/30
PROP-00130,Palm Jebel Ali,Nakheel,Jumeirah Village Circle (JVC),Apartment,3,2162000,DLD Waiver Offer
PROP-00079,Sobha Creek Vistas,Sobha Realty,Jumeirah Village Circle (JVC),Apartment,3,2364000,Post Handover 60/40
PROP-00408,Azizi Riviera,Azizi Developments,Downtown Dubai,Studio,0,480000,DLD Waiver Offer
PROP-00347,Hayat Townhouses,Nshama,Jumeirah Village Circle (JVC),Apartment,4,2399000,50/50
PROP-00081,Emaar Beachfront,Emaar Properties,Dubai Creek Harbour,Apartment,1,1645000,50/50
PROP-00295,Port De La Mer,Meraas,Jumeirah Village Circle (JVC),Townhouse,3,3117000,80/20
PROP-00218,The Sanctuary,Ellington Properties,Dubai Marina,Apartment,1,1401000,1% Monthly
PROP-00456,Creek Rise,Emaar Properties,Downtown Dubai,Studio,0,872000,70/30
PROP-00080,Danube Diamondz,Danube Properties,Palm Jumeirah,Studio,0,589000,Post Handover 60/40
PROP-00083,Town Square,Nshama,Jumeirah Lake Towers (JLT),Villa,3,5448000,Post Handover 60/40
PROP-00423,Emaar Beachfront,Emaar Properties,Downtown Dubai,Townhouse,3,2533000,DLD Waiver Offer
PROP-00394,1/JVC,Dubai Properties,Al Furjan,Apartment,2,1846000,Post Handover 60/40
PROP-00400,Binghatti Canal,Binghatti Developers,Jumeirah Village Circle (JVC),Villa,3,5438000,50/50
PROP-00151,Danube Diamondz,Danube Properties,Al Furjan,Apartment,3,2156000,DLD Waiver Offer
PROP-00333,Wilton Terraces,Ellington Properties,Damac Hills 2,Apartment,2,1660000,1% Monthly
PROP-00131,Binghatti Jacob & Co,Binghatti Developers,Business Bay,Penthouse,3,11117000,80/20
PROP-00240,Safa Two,DAMAC Properties,Dubai Marina,Apartment,1,1553000,Post Handover 60/40
PROP-00357,Hayat Townhouses,Nshama,Jumeirah Village Circle (JVC),Penthouse,3,9106000,50/50
PROP-00044,Town Square,Nshama,Dubai Marina,Apartment,3,2215000,1% Monthly
PROP-00454,Azizi Venice,Azizi Developments,Dubai Hills Estate,Apartment,2,1620000,70/30
PROP-00055,Hayat Townhouses,Nshama,Arabian Ranches,Townhouse,4,2723000,60/40
PROP-00046,Sobha One,Sobha Realty,Business Bay,Apartment,1,1083000,1% Monthly
PROP-00198,Creek Rise,Emaar Properties,Palm Jumeirah,Apartment,2,2021000,70/30
PROP-00475,DAMAC Lagoons,DAMAC Properties,Downtown Dubai,Villa,3,5290000,1% Monthly
PROP-00473,Emaar Beachfront,Emaar Properties,Downtown Dubai,Studio,0,762000,1% Monthly
PROP-00538,Sobha Seahaven,Sobha Realty,Downtown Dubai,Studio,0,840000,1% Monthly
PROP-00376,Sobha Creek Vistas,Sobha Realty,Dubai South,Apartment,2,1711000,80/20
PROP-00270,Belgravia,Ellington Properties,Dubai Silicon Oasis,Penthouse,5,10541000,Post Handover 60/40
PROP-00306,Danube Oceanz,Danube Properties,Dubai Hills Estate,Penthouse,3,7613000,Post Handover 60/40
PROP-00543,Emaar Beachfront,Emaar Properties,Dubai Marina,Apartment,1,1623000,60/40
PROP-00465,Nad Al Sheba Gardens,Nakheel,Arabian Ranches,Apartment,2,1963000,60/40
PROP-00464,Safa Two,DAMAC Properties,Jumeirah Village Circle (JVC),Apartment,1,1635000,Post Handover 60/40
PROP-00074,Binghatti Aquarise,Binghatti Developers,Damac Hills 2,Townhouse,4,2823000,70/30
PROP-00034,Jumeirah Islands,Nakheel,Dubai Hills Estate,Apartment,1,1373000,60/40
PROP-00389,Nad Al Sheba Gardens,Nakheel,Dubai South,Villa,5,5741000,80/20
PROP-00011,Haven,Aldar Properties,Dubai South,Townhouse,3,2992000,70/30
PROP-00115,Binghatti Aquarise,Binghatti Developers,Dubai Marina,Villa,3,4764000,70/30
PROP-00120,Azizi Venice,Azizi Developments,Business Bay,Townhouse,4,3213000,Post Handover 60/40
PROP-00189,Azizi Aliyah,Azizi Developments,Jumeirah Village Circle (JVC),Studio,0,762000,1% Monthly
PROP-00301,Yas Acres,Aldar Properties,Palm Jumeirah,Villa,4,3579000,70/30
PROP-00255,Town Square,Nshama,Dubai Marina,Apartment,3,2390000,Post Handover 60/40
PROP-00251,Town Square,Nshama,Dubai South,Studio,0,592000,DLD Waiver Offer
PROP-00178,Binghatti Canal,Binghatti Developers,Dubai Marina,Studio,0,517000,Post Handover 60/40
PROP-00027,DAMAC Hills 2,DAMAC Properties,Dubai Hills Estate,Apartment,4,2883000,80/20
PROP-00326,The Sanctuary,Ellington Properties,Dubai Creek Harbour,Villa,4,5441000,1% Monthly
PROP-00293,Sobha Seahaven,Sobha Realty,Dubai Hills Estate,Apartment,1,1146000,1% Monthly
PROP-00373,Belgravia,Ellington Properties,Dubai Hills Estate,Studio,0,589000,80/20
PROP-00069,Port De La Mer,Meraas,Downtown Dubai,Apartment,2,1842000,60/40
PROP-00025,Binghatti Canal,Binghatti Developers,Dubai Hills Estate,Townhouse,2,2474000,70/30
PROP-00589,1/JVC,Dubai Properties,Jumeirah Lake Towers (JLT),Townhouse,3,2634000,Post Handover 60/40
PROP-00051,Dubai Hills Views,Emaar Properties,Dubai Hills Estate,Studio,0,459000,Post Handover 60/40
PROP-00480,La Mer Residences,Meraas,Dubai Marina,Townhouse,4,3203000,50/50
PROP-00584,Sobha Creek Vistas,Sobha Realty,Arabian Ranches,Apartment,2,1913000,80/20
PROP-00288,Azizi Venice,Azizi Developments,Dubai Hills Estate,Apartment,2,1478000,60/40
PROP-00197,Azizi Aliyah,Azizi Developments,Downtown Dubai,Villa,6,5720000,Post Handover 60/40
PROP-00058,Haven,Aldar Properties,Dubai South,Townhouse,3,2672000,80/20
PROP-00053,Azizi Aliyah,Azizi Developments,Jumeirah Lake Towers (JLT),Apartment,3,2242000,60/40
PROP-00494,Port De La Mer,Meraas,Dubai Marina,Apartment,2,1709000,60/40
PROP-00477,Danube Oceanz,Danube Properties,Downtown Dubai,Townhouse,3,3315000,50/50
PROP-00188,Binghatti Canal,Binghatti Developers,Business Bay,Villa,4,5437000,50/50
PROP-00136,Town Square,Nshama,Palm Jumeirah,Villa,3,5233000,80/20
PROP-00154,Town Square,Nshama,Arabian Ranches,Villa,6,6250000,60/40
PROP-00413,Danube Elitz,Danube Properties,Jumeirah Lake Towers (JLT),Villa,6,5648000,80/20
PROP-00585,Dubai Hills Views,Emaar Properties,Dubai Creek Harbour,Studio,0,461000,1% Monthly
PROP-00206,Emaar Beachfront,Emaar Properties,Palm Jumeirah,Apartment,4,2494000,Post Handover 60/40
PROP-00238,Danube Oceanz,Danube Properties,Downtown Dubai,Studio,0,456000,70/30
PROP-00336,Binghatti Jacob & Co,Binghatti Developers,Al Furjan,Townhouse,4,2714000,Post Handover 60/40
PROP-00072,Haven,Aldar Properties,Jumeirah Lake Towers (JLT),Studio,0,840000,70/30
PROP-00474,1/JVC,Dubai Properties,Jumeirah Lake Towers (JLT),Apartment,2,1746000,DLD Waiver Offer
PROP-00185,Danube Diamondz,Danube Properties,Jumeirah Lake Towers (JLT),Penthouse,3,9164000,60/40
PROP-00017,Town Square,Nshama,Al Furjan,Apartment,3,2271000,50/50
PROP-00356,Haven,Aldar Properties,Palm Jumeirah,Villa,4,5722000,DLD Waiver Offer
PROP-00163,Azizi Aliyah,Azizi Developments,Al Furjan,Apartment,1,1463000,1% Monthly
PROP-00567,La Mer Residences,Meraas,Jumeirah Lake Towers (JLT),Apartment,2,2197000,50/50
PROP-00029,Bluewaters Residences,Meraas,Business Bay,Townhouse,3,3080000,50/50
PROP-00084,Palm Jebel Ali,Nakheel,Business Bay,Townhouse,2,2585000,80/20
PROP-00161,Azizi Aliyah,Azizi Developments,Jumeirah Village Circle (JVC),Townhouse,3,2954000,80/20
PROP-00272,Fay Alreeman,Aldar Properties,Palm Jumeirah,Villa,5,6772000,50/50
PROP-00126,Town Square,Nshama,Dubai Marina,Townhouse,3,2864000,70/30
PROP-00004,Bluewaters Residences,Meraas,Arabian Ranches,Villa,3,5462000,1% Monthly
PROP-00214,Cavalli Couture,DAMAC Properties,Business Bay,Apartment,1,1279000,50/50
PROP-00024,Yas Acres,Aldar Properties,Dubai Creek Harbour,Apartment,1,1677000,80/20
PROP-00279,Sobha Seahaven,Sobha Realty,Dubai Hills Estate,Studio,0,803000,60/40
PROP-00247,Binghatti Jacob & Co,Binghatti Developers,Palm Jumeirah,Apartment,2,1930000,DLD Waiver Offer
PROP-00266,Mudon,Dubai Properties,Arabian Ranches,Villa,4,4842000,60/40
PROP-00122,Azizi Riviera,Azizi Developments,Jumeirah Village Circle (JVC),Studio,0,806000,70/30
PROP-00381,Danube Oceanz,Danube Properties,Dubai Hills Estate,Apartment,2,1660000,DLD Waiver Offer
PROP-00460,Hayat Townhouses,Nshama,Jumeirah Village Circle (JVC),Townhouse,4,3510000,50/50
PROP-00368,Azizi Riviera,Azizi Developments,Dubai Hills Estate,Apartment,2,1718000,60/40
PROP-00466,Azizi Aliyah,Azizi Developments,Damac Hills 2,Apartment,3,1880000,80/20
PROP-00491,Sobha Creek Vistas,Sobha Realty,Business Bay,Studio,0,867000,Post Handover 60/40
PROP-00383,Creek Rise,Emaar Properties,Palm Jumeirah,Apartment,2,1382000,80/20
PROP-00498,Fay Alreeman,Aldar Properties,Dubai Silicon Oasis,Apartment,1,1494000,70/30
PROP-00512,Aykon City,DAMAC Properties,Dubai Marina,Villa,6,5943000,DLD Waiver Offer
PROP-00073,Emaar Beachfront,Emaar Properties,Damac Hills 2,Apartment,2,1778000,1% Monthly
PROP-00393,Wilton Terraces,Ellington Properties,Jumeirah Village Circle (JVC),Apartment,2,1706000,60/40
PROP-00592,The Sanctuary,Ellington Properties,Downtown Dubai,Apartment,1,1268000,Post Handover 60/40
PROP-00232,Serena,Dubai Properties,Downtown Dubai,Townhouse,4,3447000,60/40
PROP-00341,Deira Islands,Nakheel,Palm Jumeirah,Apartment,1,1326000,Post Handover 60/40
PROP-00331,Sobha Hartland,Sobha Realty,Jumeirah Lake Towers (JLT),Apartment,1,1568000,DLD Waiver Offer
PROP-00366,Azizi Venice,Azizi Developments,Jumeirah Village Circle (JVC),Apartment,2,1682000,60/40
PROP-00254,La Mer Residences,Meraas,Dubai Hills Estate,Studio,0,503000,60/40
PROP-00508,Azizi Venice,Azizi Developments,Business Bay,Villa,5,5014000,DLD Waiver Offer
PROP-00127,Sobha Hartland,Sobha Realty,Mohammed Bin Rashid City (MBR City),Apartment,1,1435000,70/30
PROP-00045,Belgravia,Ellington Properties,Jumeirah Village Circle (JVC),Apartment,3,2299000,Post Handover 60/40
PROP-00576,The Sanctuary,Ellington Properties,Dubai South,Apartment,4,2459000,60/40
PROP-00059,DAMAC Hills 2,DAMAC Properties,Downtown Dubai,Townhouse,2,2489000,50/50
PROP-00496,Sobha One,Sobha Realty,Dubai Marina,Apartment,4,2515000,80/20
PROP-00311,Binghatti Jacob & Co,Binghatti Developers,Dubai South,Townhouse,4,3115000,Post Handover 60/40
PROP-00061,Mudon,Dubai Properties,Jumeirah Village Circle (JVC),Townhouse,3,2409000,50/50
PROP-00349,Danube Elitz,Danube Properties,Palm Jumeirah,Apartment,1,1549000,60/40
PROP-00553,Emaar Beachfront,Emaar Properties,Mohammed Bin Rashid City (MBR City),Apartment,1,1319000,80/20
PROP-00076,Haven,Aldar Properties,Damac Hills 2,Studio,0,723000,DLD Waiver Offer
PROP-00501,Aykon City,DAMAC Properties,Dubai Marina,Apartment,3,2279000,80/20
PROP-00325,Creek Rise,Emaar Properties,Damac Hills 2,Apartment,2,1841000,60/40
PROP-00019,Cavalli Couture,DAMAC Properties,Dubai Marina,Penthouse,5,10353000,Post Handover 60/40
PROP-00054,La Mer Residences,Meraas,Dubai Hills Estate,Apartment,2,1817000,60/40
PROP-00275,Fay Alreeman,Aldar Properties,Jumeirah Village Circle (JVC),Apartment,2,1837000,80/20
PROP-00593,Binghatti Canal,Binghatti Developers,Jumeirah Lake Towers (JLT),Apartment,2,1928000,Post Handover 60/40
PROP-00580,Sobha One,Sobha Realty,Business Bay,Townhouse,3,3027000,70/30
